四川移动-组播1,#genre#
巴中综合,http://171.213.134.23:4000/rtp/239.10.0.52:5140
巴中文旅生活,http://171.213.134.23:4000/rtp/239.10.0.53:5140
广元综合,http://171.213.134.23:4000/rtp/239.10.0.60:5140
广元文化生活,http://171.213.134.23:4000/rtp/239.10.0.61:5140
广安新闻综合,http://171.213.134.23:4000/rtp/239.10.0.58:5140
广安文旅乡村,http://171.213.134.23:4000/rtp/239.10.0.59:5140
康定综合,http://171.213.134.23:4000/rtp/239.10.0.30:5140
德阳新闻综合,http://171.213.134.23:4000/rtp/239.10.0.56:5140
德阳文旅科教,http://171.213.134.23:4000/rtp/239.10.0.57:5140
攀枝花新闻综合,http://171.213.134.23:4000/rtp/239.10.0.74:5140
泸州新闻综合,http://171.213.134.23:4000/rtp/239.10.0.46:5140
泸州科教生活,http://171.213.134.23:4000/rtp/239.10.0.48:5140
甘孜综合,http://171.213.134.23:4000/rtp/239.10.0.32:5140
眉山综合,http://171.213.134.23:4000/rtp/239.10.0.66:5140
眉山文旅乡村,http://171.213.134.23:4000/rtp/239.10.0.67:5140
稻城综合,http://171.213.134.23:4000/rtp/239.10.0.29:5140
绵阳新闻综合,http://171.213.134.23:4000/rtp/239.10.0.96:5140
绵阳科教生活,http://171.213.134.23:4000/rtp/239.10.0.98:5140
自贡综合,http://171.213.134.23:4000/rtp/239.10.0.83:5140
自贡文化生活,http://171.213.134.23:4000/rtp/239.10.0.84:5140
资阳新闻综合,http://171.213.134.23:4000/rtp/239.10.0.82:5140
达州新闻综合,http://171.213.134.23:4000/rtp/239.10.0.54:5140
达州文化生活,http://171.213.134.23:4000/rtp/239.10.0.55:5140
遂宁综合,http://171.213.134.23:4000/rtp/239.10.0.76:5140
遂宁文化生活,http://171.213.134.23:4000/rtp/239.10.0.77:5140
阿坝州新闻综合,http://171.213.134.23:4000/rtp/239.10.0.50:5140
阿坝州新闻综合,http://171.213.134.23:4000/rtp/239.10.0.51:5140
雅安新闻综合,http://171.213.134.23:4000/rtp/239.10.0.78:5140
雅安文化生活,http://171.213.134.23:4000/rtp/239.10.0.79:5140
凤凰中文,http://171.213.134.23:4000/rtp/239.11.0.153:5140
凤凰资讯,http://171.213.134.23:4000/rtp/239.11.0.154:5140
