广西电信-组播1,#genre#
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.253:4056$1080p
广西IPTV宣传,http://124.162.36.24:4022/udp/239.81.0.79:4056$1080p
北海新闻综合,http://124.162.36.24:4022/udp/239.81.0.136:4056$576p
北海新闻综合,http://124.162.36.24:4022/udp/239.81.0.154:4056$1080p
南宁新闻综合,http://124.162.36.24:4022/udp/239.81.0.126:4056$576p
南宁新闻综合,http://124.162.36.24:4022/udp/239.81.0.241:4056$1080p
南宁公共,http://124.162.36.24:4022/udp/239.81.0.129:4056$576p
南宁公共,http://124.162.36.24:4022/udp/239.81.0.141:4056$1080p
南宁影视娱乐,http://124.162.36.24:4022/udp/239.81.0.128:4056$576p
南宁影视娱乐,http://124.162.36.24:4022/udp/239.81.0.140:4056$1080p
南宁文旅生活,http://124.162.36.24:4022/udp/239.81.0.127:4056$576p
南宁文旅生活,http://124.162.36.24:4022/udp/239.81.0.139:4056$1080p
崇左综合,http://124.162.36.24:4022/udp/239.81.0.171:4056$576p
崇左综合,http://124.162.36.24:4022/udp/239.81.0.218:4056$1080p
柳州新闻综合,http://124.162.36.24:4022/udp/239.81.0.175:4056$1080p
柳州新闻综合,http://124.162.36.24:4022/udp/239.81.0.134:4056$576p
柳州新闻综合,http://124.162.36.24:4022/udp/239.81.0.135:4056$576p
来宾综合,http://124.162.36.24:4022/udp/239.81.0.173:4056$1080p
来宾综合,http://124.162.36.24:4022/udp/239.81.0.170:4056$576p
桂林新闻综合,http://124.162.36.24:4022/udp/239.81.0.174:4056$1080p
桂林科教旅游,http://124.162.36.24:4022/udp/239.81.0.221:4056$1080p
桂林公共,http://124.162.36.24:4022/udp/239.81.0.222:4056$1080p
梧州新闻综合,http://124.162.36.24:4022/udp/239.81.0.176:4056$1080p
梧州新闻综合,http://124.162.36.24:4022/udp/239.81.0.244:4056$576p
河池新闻综合,http://124.162.36.24:4022/udp/239.81.0.167:4056$576p
河池新闻综合,http://124.162.36.24:4022/udp/239.81.0.168:4056$1080p
玉林新闻综合,http://124.162.36.24:4022/udp/239.81.0.138:4056$576p
玉林新闻综合,http://124.162.36.24:4022/udp/239.81.0.177:4056$1080p
百色综合,http://124.162.36.24:4022/udp/239.81.0.149:4056$576p
百色综合,http://124.162.36.24:4022/udp/239.81.0.150:4056$1080p
贵港新闻综合,http://124.162.36.24:4022/udp/239.81.0.169:4056$576p
贵港新闻综合,http://124.162.36.24:4022/udp/239.81.0.172:4056$1080p
贺州综合,http://124.162.36.24:4022/udp/239.81.0.137:4056$576p
贺州综合,http://124.162.36.24:4022/udp/239.81.0.163:4056$1080p
钦州综合,http://124.162.36.24:4022/udp/239.81.0.164:4056$1080p
钦州综合,http://124.162.36.24:4022/udp/239.81.0.165:4056$576p
防城港新闻综合,http://124.162.36.24:4022/udp/239.81.0.151:4056$1080p
IPTV动画,http://124.162.36.24:4022/udp/239.81.0.100:4056$1080p
中国天气,http://124.162.36.24:4022/udp/239.81.0.63:4056$576p
优购物,http://124.162.36.24:4022/udp/239.81.0.132:4056$576p
央广购物,http://124.162.36.24:4022/udp/239.81.0.131:4056$576p
嘉佳卡通,http://124.162.36.24:4022/udp/239.81.0.64:4056$576p
新动漫,http://124.162.36.24:4022/udp/239.81.0.235:4056$576p
家有购物,http://124.162.36.24:4022/udp/239.81.0.224:4056$576p
求索纪录,http://124.162.36.24:4022/udp/239.81.0.153:4056$1080p
电影,http://124.162.36.24:4022/udp/239.81.0.1:4056$1080p
电影1,http://124.162.36.24:4022/udp/239.81.0.189:4056$1080p
电影2,http://124.162.36.24:4022/udp/239.81.0.194:4056$1080p
电影4,http://124.162.36.24:4022/udp/239.81.0.197:4056
电影5,http://124.162.36.24:4022/udp/239.81.0.217:4056$1080p
精彩影视,http://124.162.36.24:4022/udp/239.81.0.152:4056$1080p
聚鲨环球精选,http://124.162.36.24:4022/udp/239.81.0.98:4056$576p
金鹰卡通,http://124.162.36.24:4022/udp/239.81.0.148:4056$1080p
金鹰卡通,http://124.162.36.24:4022/udp/239.81.0.61:4056$576p
金鹰纪实,http://124.162.36.24:4022/udp/239.81.0.91:4056$1080p
