宁夏电信-组播1,#genre#
精选,http://111.113.150.63:9999/rtp/239.121.4.169:9190
纪实,http://111.113.150.63:9999/rtp/239.121.4.164:8968
经典电影,http://111.113.150.63:9999/rtp/239.121.4.172:9016
美人,http://111.113.150.63:9999/rtp/239.121.4.188:9112
美妆,http://111.113.150.63:9999/rtp/239.121.4.83:8472
股评汇,http://111.113.150.63:9999/rtp/239.121.4.98:8562
西藏卫视,http://111.113.150.63:9999/rtp/239.121.4.56:8310
解密,http://111.113.150.63:9999/rtp/239.121.4.183:9082
财富天下,http://111.113.150.63:9999/rtp/239.121.4.181:9070
贵州卫视,http://111.113.150.63:9999/rtp/239.121.4.49:8268
足球,http://111.113.150.63:9999/rtp/239.121.4.193:9142
辽宁卫视,http://111.113.150.63:9999/rtp/239.121.4.163:8962
辽宁卫视,http://111.113.150.63:9999/rtp/239.121.4.42:8226
都市剧场,http://111.113.150.63:9999/rtp/239.121.4.62:8346
重庆卫视,http://111.113.150.63:9999/rtp/239.121.4.36:8190
金色频道,http://111.113.150.63:9999/rtp/239.121.4.78:8442
金鹰卡通,http://111.113.150.63:9999/rtp/239.121.4.52:8286
金鹰纪实,http://111.113.150.63:9999/rtp/239.121.4.167:8986
鉴赏,http://111.113.150.63:9999/rtp/239.121.4.184:9088
银川公共,http://111.113.150.63:9999/rtp/239.121.4.21:8100
银川文体,http://111.113.150.63:9999/rtp/239.121.4.22:8106
银川生活,http://111.113.150.63:9999/rtp/239.121.4.106:8610
陕西卫视,http://111.113.150.63:9999/rtp/239.121.4.38:8202
青海卫视,http://111.113.150.63:9999/rtp/239.121.4.55:8304
音乐现场,http://111.113.150.63:9999/rtp/239.121.4.178:9052
高网,http://111.113.150.63:9999/rtp/239.121.4.192:9136
魅力时尚,http://111.113.150.63:9999/rtp/239.121.4.85:8484
魅力音乐,http://111.113.150.63:9999/rtp/239.121.4.72:8406
黑龙江卫视,http://111.113.150.63:9999/rtp/239.121.4.120:8702
黑龙江卫视,http://111.113.150.63:9999/rtp/239.121.4.44:8238
直播室201,http://111.113.150.63:9999/rtp/239.121.4.127:8744
直播室202,http://111.113.150.63:9999/rtp/239.121.4.128:8750
直播室203,http://111.113.150.63:9999/rtp/239.121.4.129:8756
直播室204,http://111.113.150.63:9999/rtp/239.121.4.130:8762
直播室205,http://111.113.150.63:9999/rtp/239.121.4.131:8768
直播室206,http://111.113.150.63:9999/rtp/239.121.4.132:8774
直播室207,http://111.113.150.63:9999/rtp/239.121.4.133:8780
直播室208,http://111.113.150.63:9999/rtp/239.121.4.146:8858
直播室209,http://111.113.150.63:9999/rtp/239.121.4.147:8864
直播室210,http://111.113.150.63:9999/rtp/239.121.4.148:8870
直播室211,http://111.113.150.63:9999/rtp/239.121.4.149:8876


BRTV卡酷少儿,http://111.113.150.63:9999/rtp/239.121.5.46:9248
CCTV-1 综合,http://111.113.150.63:9999/rtp/239.121.5.170:8008
CCTV-2 财经,http://111.113.150.63:9999/rtp/239.121.5.185:8084
CCTV-3 综艺,http://111.113.150.63:9999/rtp/239.121.5.35:5520
CCTV-4 中文国际,http://111.113.150.63:9999/rtp/239.121.5.155:5520
