广东移动-组播1,#genre#
咪视界19,http://120.234.187.66:10086/rtp/239.21.0.19:3416
咪视界20,http://120.234.187.66:10086/rtp/239.21.0.20:3420
咪视界21,http://120.234.187.66:10086/rtp/239.21.0.21:3424
咪视界22,http://120.234.187.66:10086/rtp/239.21.0.22:3428
咪视界23,http://120.234.187.66:10086/rtp/239.21.0.23:3432
咪视界25,http://120.234.187.66:10086/rtp/239.21.0.29:3456
咪视界26,http://120.234.187.66:10086/rtp/239.21.0.30:3460
咪视界27,http://120.234.187.66:10086/rtp/239.21.0.31:3464
咪视界28,http://120.234.187.66:10086/rtp/239.21.0.32:3468
咪视界29,http://120.234.187.66:10086/rtp/239.21.0.33:3472
咪视界4K,http://120.234.187.66:10086/rtp/239.20.0.66:3136

