内蒙古电信-组播1,#genre#
家有购物,http://123.179.62.20:4022/rtp/239.29.0.171:5000
家有购物,http://123.179.62.20:4022/rtp/239.29.1.174:5000
聚鲨环球精选,http://123.179.62.20:4022/rtp/239.29.0.170:5000
聚鲨环球精选,http://123.179.62.20:4022/rtp/239.29.1.175:5000
快乐购,http://123.179.62.20:4022/rtp/239.29.0.173:5000
快乐购,http://123.179.62.20:4022/rtp/239.29.1.172:5000
金鹰卡通,http://123.179.62.20:4022/rtp/239.29.1.85:5001
金鹰纪实,http://123.179.62.20:4022/rtp/239.29.0.92:5000
内蒙古电信-组播2,#genre#
内蒙古电信-组播3,#genre#
