北京电信-组播1,#genre#
IPTV好学生,http://115.171.216.32:4000/rtp/225.1.8.241:4120
IPTV少儿动画,http://115.171.216.32:4000/rtp/225.1.8.207:9000
IPTV戏曲,http://115.171.216.32:4000/rtp/225.1.8.238:4120
IPTV收视指南,http://115.171.216.32:4000/rtp/225.1.8.201:8012
IPTV早教,http://115.171.216.32:4000/rtp/225.1.8.239:4120
IPTV武术,http://115.171.216.32:4000/rtp/225.1.8.247:4120
IPTV热播剧场,http://115.171.216.32:4000/rtp/225.1.8.202:9020
IPTV爱生活,http://115.171.216.32:4000/rtp/225.1.8.246:4120
IPTV精选,http://115.171.216.32:4000/rtp/225.1.8.234:4120
IPTV经典电影,http://115.171.216.32:4000/rtp/225.1.8.203:9024
IPTV美人,http://115.171.216.32:4000/rtp/225.1.8.233:4120
IPTV美妆,http://115.171.216.32:4000/rtp/225.1.8.232:4120
IPTV解密,http://115.171.216.32:4000/rtp/225.1.8.235:4120
IPTV足球,http://115.171.216.32:4000/rtp/225.1.8.249:4120
IPTV鉴赏,http://115.171.216.32:4000/rtp/225.1.8.242:4120
IPTV音乐现场,http://115.171.216.32:4000/rtp/225.1.8.230:4120
IPTV高网,http://115.171.216.32:4000/rtp/225.1.8.248:4120
IPTV魅力时尚,http://115.171.216.32:4000/rtp/225.1.8.204:9012
IPTV星影,http://115.171.216.32:4000/rtp/225.1.8.254:4120
北京电信-组播2,#genre#
爱上4K,http://115.171.216.46:4000/rtp/225.1.8.80:2000
BRTV卡酷少儿,http://115.171.216.46:4000/rtp/225.1.8.130:8002
BRTV卡酷少儿,http://115.171.216.46:4000/rtp/225.1.8.35:8000
BRTV国际,http://115.171.216.46:4000/rtp/225.1.8.131:8002
BRTV影视,http://115.171.216.46:4000/rtp/225.1.8.124:8002
BRTV影视,http://115.171.216.46:4000/rtp/225.1.8.82:8000
BRTV文艺,http://115.171.216.46:4000/rtp/225.1.8.122:8002
BRTV文艺,http://115.171.216.46:4000/rtp/225.1.8.22:8002
BRTV新闻,http://115.171.216.46:4000/rtp/225.1.8.129:8002
BRTV新闻,http://115.171.216.46:4000/rtp/225.1.8.83:8000
BRTV生活,http://115.171.216.46:4000/rtp/225.1.8.108:8002
BRTV生活,http://115.171.216.46:4000/rtp/225.1.8.127:8002
BRTV纪实科教,http://115.171.216.46:4000/rtp/225.1.8.105:8002
BRTV纪实科教,http://115.171.216.46:4000/rtp/225.1.8.120:8002
BRTV纪实科教,http://115.171.216.46:4000/rtp/225.1.8.123:8002
BRTV纪实科教,http://115.171.216.46:4000/rtp/225.1.8.126:8002
BRTV纪实科教,http://115.171.216.46:4000/rtp/225.1.8.164:8002
BRTV纪实科教,http://115.171.216.46:4000/rtp/225.1.8.23:8002
BRTV财经,http://115.171.216.46:4000/rtp/225.1.8.106:8002
BRTV财经,http://115.171.216.46:4000/rtp/225.1.8.125:8002
CCTV-1 综合,http://115.171.216.46:4000/rtp/225.1.8.101:8080
CCTV-1 综合,http://115.171.216.46:4000/rtp/225.1.8.1:8008
CCTV-10 科教,http://115.171.216.46:4000/rtp/225.1.8.10:8116
CCTV-10 科教,http://115.171.216.46:4000/rtp/225.1.8.110:8228
CCTV-11 戏曲,http://115.171.216.46:4000/rtp/225.1.8.111:8040
CCTV-11 戏曲,http://115.171.216.46:4000/rtp/225.1.8.73:8120
CCTV-12 社会与法,http://115.171.216.46:4000/rtp/225.1.8.112:8232
CCTV-12 社会与法,http://115.171.216.46:4000/rtp/225.1.8.12:8124
CCTV-13 新闻,http://115.171.216.46:4000/rtp/225.1.1.10:8128
CCTV-13 新闻,http://115.171.216.46:4000/rtp/225.1.8.113:8264
CCTV-13 新闻,http://115.171.216.46:4000/rtp/225.1.8.168:8130
CCTV-14 少儿,http://115.171.216.46:4000/rtp/225.1.8.114:8236
CCTV-14 少儿,http://115.171.216.46:4000/rtp/225.1.8.14:8132
CCTV-15 音乐,http://115.171.216.46:4000/rtp/225.1.8.115:8052
CCTV-15 音乐,http://115.171.216.46:4000/rtp/225.1.8.74:8136
CCTV-17 农业农村,http://115.171.216.46:4000/rtp/225.1.8.117:8064
CCTV-17 农业农村,http://115.171.216.46:4000/rtp/225.1.8.17:8144
CCTV-2 财经,http://115.171.216.46:4000/rtp/225.1.8.102:8004
CCTV-2 财经,http://115.171.216.46:4000/rtp/225.1.8.2:8084
CCTV-3 综艺,http://115.171.216.46:4000/rtp/225.1.8.88:8000
