云南电信-组播1,#genre#
广东卫视,http://182.247.36.5:4080/rtp/239.200.201.35:8768
河南卫视,http://182.247.36.5:4080/rtp/239.200.201.158:8412
甘肃卫视,http://182.247.36.5:4080/rtp/239.200.200.186:8356
青海卫视,http://182.247.36.5:4080/rtp/239.200.200.58:8300
康巴卫视,http://182.247.36.5:4080/rtp/239.200.200.166:8128
金鹰卡通,http://182.247.36.5:4080/rtp/239.200.200.65:8328
山东教育,http://182.247.36.5:4080/rtp/239.200.201.77:8132
凤凰中文,http://182.247.36.5:4080/rtp/239.200.200.132:8876
凤凰资讯,http://182.247.36.5:4080/rtp/239.200.200.133:8880
星空卫视,http://182.247.36.5:4080/rtp/239.200.200.134:8884
BRTV纪实科教,http://182.247.36.5:4080/rtp/239.200.200.147:8728
财富天下,http://182.247.36.5:4080/rtp/239.200.201.178:8684
快乐购,http://182.247.36.5:4080/rtp/239.200.201.114:8892
channel V,http://182.247.36.5:4080/rtp/239.200.200.131:8888
临沧2,http://182.247.36.5:4080/rtp/239.200.200.139:8904
临沧临翔,http://182.247.36.5:4080/rtp/239.200.201.24:8486
临沧双江,http://182.247.36.5:4080/rtp/239.200.201.20:8550
临沧永德,http://182.247.36.5:4080/rtp/239.200.201.22:8510
临沧综合,http://182.247.36.5:4080/rtp/239.200.200.140:8900
临沧耿马,http://182.247.36.5:4080/rtp/239.200.201.18:8542
临沧镇康,http://182.247.36.5:4080/rtp/239.200.201.21:8526
丽江华坪,http://182.247.36.5:4080/rtp/239.200.201.201:8421
丽江永胜,http://182.247.36.5:4080/rtp/239.200.200.157:8416
丽江综合,http://182.247.36.5:4080/rtp/239.200.201.42:8445
云南娱乐,http://182.247.36.5:4080/rtp/239.200.200.13:8848
云南少儿,http://182.247.36.5:4080/rtp/239.200.200.32:8864
云南康旅,http://182.247.36.5:4080/rtp/239.200.200.31:8860
云南影视,http://182.247.36.5:4080/rtp/239.200.200.15:8856
云南都市,http://182.247.36.5:4080/rtp/239.200.200.12:8844
保山施甸,http://182.247.36.5:4080/rtp/239.200.201.83:8278
保山隆阳,http://182.247.36.5:4080/rtp/239.200.201.94:8258
保山龙陵,http://182.247.36.5:4080/rtp/239.200.201.55:8270
动漫,http://182.247.36.5:4080/rtp/239.200.200.75:9000
四海钓鱼,http://182.247.36.5:4080/rtp/239.200.201.171:8636
大理云龙,http://182.247.36.5:4080/rtp/239.200.200.162:8336
大理剑川,http://182.247.36.5:4080/rtp/239.200.201.115:8390
大理南涧,http://182.247.36.5:4080/rtp/239.200.200.159:8398
大理宾川,http://182.247.36.5:4080/rtp/239.200.201.107:8350
大理巍山,http://182.247.36.5:4080/rtp/239.200.201.147:8508
大理市综合,http://182.247.36.5:4080/rtp/239.200.200.137:8512
大理弥渡,http://182.247.36.5:4080/rtp/239.200.200.160:8342
大理文旅,http://182.247.36.5:4080/rtp/239.200.201.3:8302
大理永平,http://182.247.36.5:4080/rtp/239.200.201.108:8358
大理洱源,http://182.247.36.5:4080/rtp/239.200.201.161:8374
大理漾濞县,http://182.247.36.5:4080/rtp/239.200.200.190:8516
大理玉龙县,http://182.247.36.5:4080/rtp/239.200.201.78:8244
大理祥云,http://182.247.36.5:4080/rtp/239.200.201.169:8496
大理综合,http://182.247.36.5:4080/rtp/239.200.201.4:8298
大理鹤庆,http://182.247.36.5:4080/rtp/239.200.200.161:8382
娱乐,http://182.247.36.5:4080/rtp/239.200.200.79:1234
宝山综合,http://182.247.36.5:4080/rtp/239.200.200.121:8400
宝山腾冲县,http://182.247.36.5:4080/rtp/239.200.201.72:8262
嵩明嵩明县,http://182.247.36.5:4080/rtp/239.200.200.187:8616
德宏盈江县,http://182.247.36.5:4080/rtp/239.200.201.46:8104
德宏综合,http://182.247.36.5:4080/rtp/239.200.200.122:8608
德宏芒市,http://182.247.36.5:4080/rtp/239.200.200.127:8616
德宏陇川,http://182.247.36.5:4080/rtp/239.200.200.150:8650
怒江综合,http://182.247.36.5:4080/rtp/239.200.201.1:8540
文山富宁,http://182.247.36.5:4080/rtp/239.200.201.140:8492
文山广南,http://182.247.36.5:4080/rtp/239.200.201.191:8488
文山综合,http://182.247.36.5:4080/rtp/239.200.200.124:8650
文山西畴,http://182.247.36.5:4080/rtp/239.200.201.82:8662
文山马关,http://182.247.36.5:4080/rtp/239.200.201.93:8256
文山麻栗坡,http://182.247.36.5:4080/rtp/239.200.201.190:8480
昆明宜良县,http://182.247.36.5:4080/rtp/239.200.200.188:8608
昆明影视综艺,http://182.247.36.5:4080/rtp/239.200.200.114:8516
昆明教育,http://182.247.36.5:4080/rtp/239.200.201.144:8844
昆明春城民生,http://182.247.36.5:4080/rtp/239.200.200.115:8520
昆明晋宁区,http://182.247.36.5:4080/rtp/239.200.200.192:8624
昆明科学教育,http://182.247.36.5:4080/rtp/239.200.200.112:8508
昆明经济生活,http://182.247.36.5:4080/rtp/239.200.200.16:8504
