山东电信-组播1,#genre#
夏津公共,http://123.168.210.194:6777/udp/239.21.1.102:5002
夏津综合,http://123.168.210.194:6777/udp/239.21.1.106:5002$1080p
威海新闻综合,http://123.168.210.194:6777/udp/239.21.2.155:5002
威海海洋生活,http://123.168.210.194:6777/udp/239.21.2.156:5002
宁津综合,http://123.168.210.194:6777/udp/239.21.2.50:5002
宁阳2套,http://123.168.210.194:6777/udp/239.21.1.144:5002
宁阳综合,http://123.168.210.194:6777/udp/239.21.1.143:5002$1080p
安丘综合,http://123.168.210.194:6777/udp/239.21.2.13:5002$1080p
定陶综合,http://123.168.210.194:6777/udp/239.21.1.244:5002$1080p
寿光综合,http://123.168.210.194:6777/udp/239.21.1.180:5002$576p
寿光蔬菜,http://123.168.210.194:6777/udp/239.21.1.218:5002$1080p
岚山综合,http://123.168.210.194:6777/udp/239.21.1.209:5002$1080p
岱岳综合,http://123.168.210.194:6777/udp/239.21.2.139:5002
崂山综合,http://123.168.210.194:6777/udp/239.21.1.223:5002$1080p
崂山综合,http://123.168.210.194:6777/udp/239.21.2.122:5002
巨野综合,http://123.168.210.194:6777/udp/239.21.1.215:5002$1080p
平原综合,http://123.168.210.194:6777/udp/239.21.1.243:5002$1080p
平度综合,http://123.168.210.194:6777/udp/239.21.1.228:5002$1080p
平阴综合,http://123.168.210.194:6777/udp/239.21.1.221:5002$1080p
广饶综合,http://123.168.210.194:6777/udp/239.21.1.193:5002$1080p
张店综合,http://123.168.210.194:6777/udp/239.21.2.138:5002
德州新闻综合,http://123.168.210.194:6777/udp/239.21.1.75:5002$1080p
德州经济生活,http://123.168.210.194:6777/udp/239.21.1.76:5002$1080p
惠民综合,http://123.168.210.194:6777/udp/239.21.1.181:5002$576p
招远综合,http://123.168.210.194:6777/udp/239.21.2.145:5002
文登TV1,http://123.168.210.194:6777/udp/239.21.1.174:5002$1080p
新泰乡村,http://123.168.210.194:6777/udp/239.21.1.248:5002$1080p
新泰综合,http://123.168.210.194:6777/udp/239.21.1.210:5002$1080p
无棣综合,http://123.168.210.194:6777/udp/239.21.1.214:5002$1080p
日照公共,http://123.168.210.194:6777/udp/239.21.2.81:5002
日照新闻综合,http://123.168.210.194:6777/udp/239.21.1.79:5002$576p
日照科教,http://123.168.210.194:6777/udp/239.21.1.80:5002$576p
昌乐综合,http://123.168.210.194:6777/udp/239.21.1.245:5002$1080p
昌邑综合,http://123.168.210.194:6777/udp/239.21.2.27:5002$1080p
曲阜综合,http://123.168.210.194:6777/udp/239.21.1.225:5002$1080p
栖霞综合,http://123.168.210.194:6777/udp/239.21.1.229:5002$576p
桓台综合,http://123.168.210.194:6777/udp/239.21.1.105:5002$576p
梁山综合,http://123.168.210.194:6777/udp/239.21.2.12:5002$1080p
武城综合,http://123.168.210.194:6777/udp/239.21.1.239:5002$1080p
汶上综合,http://123.168.210.194:6777/udp/239.21.2.175:5002
沂水生活,http://123.168.210.194:6777/udp/239.21.2.80:5002
沂水综合,http://123.168.210.194:6777/udp/239.21.2.79:5002
沂源综合,http://123.168.210.194:6777/udp/239.21.1.114:5002
河东综合,http://123.168.210.194:6777/udp/239.21.2.136:5002
沾化综合,http://123.168.210.194:6777/udp/239.21.1.226:5002$576p
泰山综合,http://123.168.210.194:6777/udp/239.21.2.147:5002
济南少儿,http://123.168.210.194:6777/udp/239.21.1.68:5002$576p
济南教育,http://123.168.210.194:6777/udp/239.21.1.133:5002
济南文旅体育,http://123.168.210.194:6777/udp/239.21.1.65:5002$576p
济南新闻综合,http://123.168.210.194:6777/udp/239.21.1.94:5002$1080p
济南生活,http://123.168.210.194:6777/udp/239.21.1.64:5002$576p
济南都市,http://123.168.210.194:6777/udp/239.21.1.63:5002$576p
济南鲁中,http://123.168.210.194:6777/udp/239.21.1.149:5002
济宁文旅,http://123.168.210.194:6777/udp/239.21.2.20:5002$576p
济宁生活,http://123.168.210.194:6777/udp/239.21.1.139:5002$576p
济宁综合,http://123.168.210.194:6777/udp/239.21.2.19:5002$1080p
济宁高新,http://123.168.210.194:6777/udp/239.21.2.83:5002
济阳综合,http://123.168.210.194:6777/udp/239.21.1.187:5002$1080p
海洋频道,http://123.168.210.194:6777/udp/239.21.2.119:5002
