安徽电信-组播1,#genre#
池州新闻综合,http://124.112.241.36:4022/rtp/238.1.78.147:7048
铜陵新闻综合,http://124.112.241.36:4022/rtp/238.1.78.139:6984
铜陵教育科技,http://124.112.241.36:4022/rtp/238.1.78.141:7000
义安新闻综合,http://124.112.241.36:4022/rtp/238.1.78.211:7560
枞阳电视台,http://124.112.241.36:4022/rtp/238.1.78.210:7552
六安综合,http://124.112.241.36:4022/rtp/238.1.78.144:7024
六安社会生活,http://124.112.241.36:4022/rtp/238.1.78.145:7032
霍山综合,http://124.112.241.36:4022/rtp/238.1.78.220:7632
霍邱新闻综合,http://124.112.241.36:4022/rtp/238.1.78.119:6824
金寨综合,http://124.112.241.36:4022/rtp/238.1.79.21:4280
淮南新闻综合,http://124.112.241.36:4022/rtp/238.1.78.113:6776
寿县综合,http://124.112.241.36:4022/rtp/238.1.78.146:7040
淮北新闻综合,http://124.112.241.36:4022/rtp/238.1.78.135:6952
淮北经济生活,http://124.112.241.36:4022/rtp/238.1.78.136:6960
安徽卫视,http://124.112.241.36:4022/rtp/238.1.78.137:6968
濉溪综合,http://124.112.241.36:4022/rtp/238.1.78.209:7544
宿州新闻综合,http://124.112.241.36:4022/rtp/238.1.78.121:6840
宿州科教生活,http://124.112.241.36:4022/rtp/238.1.78.123:6856
萧县新闻综合,http://124.112.241.36:4022/rtp/238.1.79.46:4480
泗县新闻,http://124.112.241.36:4022/rtp/238.1.78.193:7416
蚌埠新闻,http://124.112.241.36:4022/rtp/238.1.78.180:7312
五河新闻综合,http://124.112.241.36:4022/rtp/238.1.79.52:4528
固镇综合,http://124.112.241.36:4022/rtp/238.1.79.47:4488
阜阳新闻综合,http://124.112.241.36:4022/rtp/238.1.78.124:6864
阜阳生活,http://124.112.241.36:4022/rtp/238.1.78.125:6872
阜阳教育,http://124.112.241.36:4022/rtp/238.1.78.126:6880
阜阳都市文艺,http://124.112.241.36:4022/rtp/238.1.78.127:6888
颍上新闻综合,http://124.112.241.36:4022/rtp/238.1.78.194:7424
界首综合,http://124.112.241.36:4022/rtp/238.1.78.195:7432
临泉综合,http://124.112.241.36:4022/rtp/238.1.78.29:6160
阜南新闻综合,http://124.112.241.36:4022/rtp/238.1.79.11:4200
亳州综合,http://124.112.241.36:4022/rtp/238.1.78.128:6896
亳州农村,http://124.112.241.36:4022/rtp/238.1.78.129:6904
利辛新闻综合,http://124.112.241.36:4022/rtp/238.1.78.196:7440
涡阳新闻综合,http://124.112.241.36:4022/rtp/238.1.78.197:7448
蒙城新闻,http://124.112.241.36:4022/rtp/238.1.79.19:4264
屯溪融媒,http://124.112.241.36:4022/rtp/238.1.79.45:4472

安徽电信-组播2,#genre#

安徽电信-组播3,#genre#

