福建电信-组播1,#genre#
深圳卫视4K,http://27.152.133.130:34567/rtp/239.61.4.196:1025$2160p
四川卫视4K,http://27.152.133.130:34567/rtp/239.61.4.220:1025$2160p
江苏卫视4K,http://27.152.133.130:34567/rtp/239.61.4.216:1025$2160p
BRTV卡酷少儿,http://27.152.133.130:34567/rtp/239.61.5.108:1025
BRTV纪实科教,http://27.152.133.130:34567/rtp/239.61.4.203:1025
CCTV中视购物,http://27.152.133.130:34567/rtp/239.61.5.132:1025
FTV足球,http://27.152.133.130:34567/rtp/239.61.4.206:1025
三沙卫视,http://27.152.133.130:34567/rtp/239.61.3.10:9578
三沙卫视,http://27.152.133.130:34567/rtp/239.61.5.191:1025
东南卫视,http://27.152.133.130:34567/rtp/239.61.2.132:8708
东南卫视,http://27.152.133.130:34567/rtp/239.61.4.114:1025
东南卫视,http://27.152.133.130:34567/rtp/239.61.4.201:1025
东南卫视,http://27.152.133.130:34567/rtp/239.61.4.205:1025
东方卫视,http://27.152.133.130:34567/rtp/239.61.2.28:8162
东方卫视,http://27.152.133.130:34567/rtp/239.61.4.213:1025
东方卫视,http://27.152.133.130:34567/rtp/239.61.4.28:1025
云南卫视,http://27.152.133.130:34567/rtp/239.61.2.61:8360
云南卫视,http://27.152.133.130:34567/rtp/239.61.4.63:1025
兵团卫视,http://27.152.133.130:34567/rtp/239.61.2.228:9356
兵团卫视,http://27.152.133.130:34567/rtp/239.61.5.114:1025
内蒙古卫视,http://27.152.133.130:34567/rtp/239.61.2.226:9344
内蒙古卫视,http://27.152.133.130:34567/rtp/239.61.5.112:1025
北京卫视,http://27.152.133.130:34567/rtp/239.61.2.32:8186
北京卫视,http://27.152.133.130:34567/rtp/239.61.4.32:1025
吉林卫视,http://27.152.133.130:34567/rtp/239.61.2.223:9326
吉林卫视,http://27.152.133.130:34567/rtp/239.61.5.109:1025
四川卫视,http://27.152.133.130:34567/rtp/239.61.2.251:9494
四川卫视,http://27.152.133.130:34567/rtp/239.61.5.160:1025
大湾区卫视,http://27.152.133.130:34567/rtp/239.61.3.5:9548
天津卫视,http://27.152.133.130:34567/rtp/239.61.2.180:9068
天津卫视,http://27.152.133.130:34567/rtp/239.61.5.67:1025
宁夏卫视,http://27.152.133.130:34567/rtp/239.61.2.56:8330
宁夏卫视,http://27.152.133.130:34567/rtp/239.61.4.58:1025
安徽卫视,http://27.152.133.130:34567/rtp/239.61.2.248:9476
安徽卫视,http://27.152.133.130:34567/rtp/239.61.5.157:1025
山东卫视,http://27.152.133.130:34567/rtp/239.61.2.119:8708
山东卫视,http://27.152.133.130:34567/rtp/239.61.4.37:1025
山西卫视,http://27.152.133.130:34567/rtp/239.61.2.224:9332
山西卫视,http://27.152.133.130:34567/rtp/239.61.5.110:1025
广东卫视,http://27.152.133.130:34567/rtp/239.61.2.33:8192
广东卫视,http://27.152.133.130:34567/rtp/239.61.4.33:1025
广西卫视,http://27.152.133.130:34567/rtp/239.61.2.48:8282
广西卫视,http://27.152.133.130:34567/rtp/239.61.4.50:1025
新疆卫视,http://27.152.133.130:34567/rtp/239.61.2.227:9350
新疆卫视,http://27.152.133.130:34567/rtp/239.61.5.113:1025
江苏卫视,http://27.152.133.130:34567/rtp/239.61.2.30:8174
江苏卫视,http://27.152.133.130:34567/rtp/239.61.4.30:1025
江西卫视,http://27.152.133.130:34567/rtp/239.61.2.182:9080
